Wavelength (nm),Power (W)
1545.0,9.64868807e-09
1545.005,9.68814629e-09
1545.01,9.33055855e-09
1545.015,1.11172627e-08
1545.02,1.67067178e-08
1545.025,1.40470098e-08
1545.03,2.25662156e-08
1545.035,2.42493421e-08
1545.04,2.42814018e-08
1545.045,2.01679136e-08
1545.05,2.09792681e-08
1545.055,2.64491185e-08
1545.06,2.51815351e-08
1545.065,2.44059386e-08
1545.07,2.46969414e-08
1545.075,2.45625387e-08
1545.08,2.43257894e-08
1545.085,2.47302339e-08
1545.09,2.49040966e-08
1545.095,2.47302339e-08
1545.1,2.46044607e-08
1545.105,2.46081626e-08
1545.11,2.4735165e-08
1545.115,2.4693243e-08
1545.12,2.47832546e-08
1545.125,2.49657468e-08
1545.13,2.49349235e-08
1545.135,2.46673473e-08
1545.14,2.48449084e-08
1545.145,2.49793111e-08
1545.15,2.49509533e-08
1545.155,2.48523087e-08
1545.16,2.48301113e-08
1545.165,2.48375116e-08
1545.17,2.47080401e-08
1545.175,2.48042191e-08
1545.18,2.47117384e-08
1545.185,2.48671022e-08
1545.19,2.47105056e-08
1545.195,2.44836222e-08
1545.2,2.46685801e-08
1545.205,2.45810341e-08
1545.21,2.42098821e-08
1545.215,2.41013751e-08
1545.22,2.43381209e-08
1545.225,2.43282585e-08
1545.23,2.39188829e-08
1545.235,2.38584619e-08
1545.24,2.39916318e-08
1545.245,2.41050735e-08
1545.25,2.38103723e-08
1545.255,2.36204798e-08
1545.26,2.37388562e-08
1545.265,2.40014977e-08
1545.27,2.36118503e-08
1545.275,2.3435522e-08
1545.28,2.37117277e-08
1545.285,2.38781901e-08
1545.29,2.35933548e-08
1545.295,2.3414561e-08
1545.3,2.37758471e-08
1545.305,2.37869457e-08
1545.31,2.34404531e-08
1545.315,2.34885427e-08
1545.32,2.3658707e-08
1545.325,2.36180142e-08
1545.33,2.35440325e-08
1545.335,2.35637607e-08
1545.34,2.36414444e-08
1545.345,2.37474858e-08
1545.35,2.36229489e-08
1545.355,2.35366322e-08
1545.36,2.35859545e-08
1545.365,2.36870648e-08
1545.37,2.37376234e-08
1545.375,2.35736231e-08
1545.38,2.3848596e-08
1545.385,2.40212259e-08
1545.39,2.35748594e-08
1545.395,2.36278801e-08
1545.4,2.38757245e-08
1545.405,2.36698021e-08
1545.41,2.35329338e-08
1545.415,2.37906441e-08
1545.42,2.38868232e-08
1545.425,2.37857094e-08
1545.43,2.37548861e-08
1545.435,2.38535307e-08
1545.44,2.37844766e-08
1545.445,2.35353994e-08
1545.45,2.35070381e-08
1545.455,2.35822561e-08
1545.46,2.36845992e-08
1545.465,2.33035848e-08
1545.47,2.31741133e-08
1545.475,2.3516904e-08
1545.48,2.3577325e-08
1545.485,2.32887878e-08
1545.49,2.31568507e-08
1545.495,2.33381101e-08
1545.5,2.33048176e-08
1545.505,2.30335466e-08
1545.51,2.30335466e-08
1545.515,2.31445192e-08
1545.52,2.32098714e-08
1545.525,2.31790445e-08
1545.53,2.30409434e-08
1545.535,2.31987762e-08
1545.54,2.32357671e-08
1545.545,2.30619044e-08
1545.55,2.29953194e-08
1545.555,2.31593162e-08
1545.56,2.32628956e-08
1545.565,2.30384778e-08
1545.57,2.29299673e-08
1545.575,2.33011193e-08
1545.58,2.33245459e-08
1545.585,2.30557404e-08
1545.59,2.30495765e-08
1545.595,2.3368937e-08
