Wavelength (nm),Power (W)
1549.0,1.1223442e-06
1549.001,1.10809492e-06
1549.002,1.10450173e-06
1549.003,1.10375822e-06
1549.004,1.10388214e-06
1549.005,1.10313886e-06
1549.006,1.10351039e-06
1549.007,1.10400606e-06
1549.008,1.10202359e-06
1549.009,1.10227143e-06
1549.01,1.10165183e-06
1549.011,1.10412998e-06
1549.012,1.10375822e-06
1549.013,1.10066071e-06
1549.014,1.10611245e-06
1549.015,1.10189967e-06
1549.016,1.10202359e-06
1549.017,1.10301494e-06
1549.018,1.10499741e-06
1549.019,1.10512133e-06
1549.02,1.1042539e-06
1549.021,1.10499741e-06
1549.022,1.10400606e-06
1549.023,1.10375822e-06
1549.024,1.10388214e-06
1549.025,1.10289102e-06
1549.026,1.10239534e-06
1549.027,1.10090832e-06
1549.028,1.10053679e-06
1549.029,1.101404e-06
1549.03,1.10004112e-06
1549.031,1.10189967e-06
1549.032,1.10301494e-06
1549.033,1.10462565e-06
1549.034,1.10152791e-06
1549.035,1.09904977e-06
1549.036,1.10251926e-06
1549.037,1.10177575e-06
1549.038,1.10152791e-06
1549.039,1.10313886e-06
1549.04,1.1027671e-06
1549.041,1.09756297e-06
1549.042,1.10227143e-06
1549.043,1.10499741e-06
1549.044,1.10189967e-06
1549.045,1.10103224e-06
1549.046,1.10338647e-06
1549.047,1.09954544e-06
1549.048,1.10189967e-06
1549.049,1.10289102e-06
1549.05,1.10388214e-06
1549.051,1.10214751e-06
1549.052,1.101404e-06
1549.053,1.09954544e-06
1549.054,1.10313886e-06
1549.055,1.10400606e-06
1549.056,1.10487349e-06
1549.057,1.10189967e-06
1549.058,1.10189967e-06
1549.059,1.09681946e-06
1549.06,1.10165183e-06
1549.061,1.10028896e-06
1549.062,1.09657162e-06
1549.063,1.10239534e-06
1549.064,1.10264318e-06
1549.065,1.0984304e-06
1549.066,1.09743905e-06
1549.067,1.10004112e-06
1549.068,1.10016504e-06
1549.069,1.09929761e-06
1549.07,1.10214751e-06
1549.071,1.09979328e-06
1549.072,1.10189967e-06
1549.073,1.10214751e-06
1549.074,1.09880193e-06
1549.075,1.10066071e-06
1549.076,1.10152791e-06
1549.077,1.10128008e-06
1549.078,1.10004112e-06
1549.079,1.10103224e-06
1549.08,1.10016504e-06
1549.081,1.101404e-06
1549.082,1.09756297e-06
1549.083,1.09830648e-06
1549.084,1.10078463e-06
1549.085,1.0984304e-06
1549.086,1.10016504e-06
1549.087,1.09818257e-06
1549.088,1.0984304e-06
1549.089,1.09880193e-06
