Wavelength (nm),Power (W)
1550.385,9.56061967e-07
1550.3850100004,9.56433723e-07
1550.3850200008,9.55194537e-07
1550.3850300012,9.56805252e-07
1550.3850400016001,9.53831659e-07
1550.385050002,9.55194537e-07
1550.3850600024,9.55318455e-07
1550.3850700028001,9.54327106e-07
1550.3850800032,9.5370774e-07
1550.3850900036002,9.53955578e-07
1550.3851000040002,9.54698862e-07
1550.3851100044,9.53212009e-07
1550.3851200048002,9.52344692e-07
1550.3851300052002,9.51725212e-07
1550.3851400056003,9.53335928e-07
1550.3851500060002,9.53335928e-07
1550.3851600064002,9.54574944e-07
1550.3851700068003,9.54079496e-07
1550.3851800072002,9.53831659e-07
1550.3851900076004,9.54451025e-07
1550.3852000080003,9.56681333e-07
1550.3852100084002,9.52096855e-07
1550.3852200088004,9.52840367e-07
1550.3852300092003,9.54822781e-07
1550.3852400096005,9.54574944e-07
1550.3852500100004,9.53583765e-07
1550.3852600104003,9.51229538e-07
1550.3852700108005,9.55690211e-07
1550.3852800112004,9.5792052e-07
1550.3852900116005,9.5370774e-07
1550.3853000120005,9.54946699e-07
1550.3853100124004,9.53459846e-07
1550.3853200128005,9.51477375e-07
1550.3853300132005,9.53212009e-07
1550.3853400136006,9.53955578e-07
1550.3853500140006,9.53831659e-07
1550.3853600144005,9.53459846e-07
1550.3853700148006,9.54946699e-07
1550.3853800152006,9.53088204e-07
1550.3853900156007,9.53212009e-07
1550.3854000160006,9.52592529e-07
1550.3854100164006,9.51353456e-07
1550.3854200168007,9.53212009e-07
1550.3854300172006,9.54203415e-07
1550.3854400176008,9.52344692e-07
1550.3854500180007,9.54574944e-07
1550.3854600184006,9.52096855e-07
1550.3854700188008,9.53088204e-07
1550.3854800192007,9.51725212e-07
1550.3854900196009,9.52220773e-07
1550.3855000200008,9.52592529e-07
1550.3855100204007,9.53335928e-07
1550.3855200208009,9.51353456e-07
1550.3855300212008,9.51353456e-07
1550.385540021601,9.53212009e-07
1550.3855500220009,9.55070618e-07
1550.3855600224008,9.56929171e-07
1550.385570022801,9.54451025e-07
1550.3855800232009,9.53831659e-07
1550.385590023601,9.55194537e-07
1550.385600024001,9.55318455e-07
1550.3856100244009,9.54203415e-07
1550.385620024801,9.52220773e-07
1550.385630025201,9.5581413e-07
1550.385640025601,9.5370774e-07
1550.385650026001,9.52220773e-07
1550.385660026401,9.52096855e-07
1550.385670026801,9.53335928e-07
1550.385680027201,9.54203415e-07
1550.3856900276012,9.56185886e-07
1550.385700028001,9.53955578e-07
1550.385710028401,9.52840367e-07
1550.3857200288012,9.51477375e-07
1550.385730029201,9.48627473e-07
1550.3857400296013,9.54946699e-07
1550.3857500300012,9.49742628e-07
1550.3857600304011,9.51229538e-07
1550.3857700308013,9.52716448e-07
1550.3857800312012,9.53583765e-07
1550.3857900316013,9.55938049e-07
1550.3858000320013,9.53955578e-07
1550.3858100324012,9.48751392e-07
1550.3858200328013,9.47140677e-07
1550.3858300332013,9.52344692e-07
1550.3858400336014,9.52468611e-07
1550.3858500340014,9.54203415e-07
1550.3858600344013,9.55566293e-07
1550.3858700348014,9.54698862e-07
1550.3858800352014,9.54327106e-07
1550.3858900356015,9.51353456e-07
1550.3859000360014,9.53459846e-07
1550.3859100364014,9.52468611e-07
1550.3859200368015,9.5197305e-07
1550.3859300372014,9.53335928e-07
1550.3859400376016,9.52716448e-07
1550.3859500380015,9.54698862e-07
1550.3859600384014,9.53335928e-07
1550.3859700388016,9.56309805e-07
1550.3859800392015,9.54946699e-07
1550.3859900396017,9.53088204e-07
1550.3860000400016,9.52344692e-07
1550.3860100404015,9.51105619e-07
1550.3860200408017,9.52716448e-07
1550.3860300412016,9.53335928e-07
1550.3860400416017,9.55690211e-07
1550.3860500420017,9.5581413e-07
1550.3860600424016,9.55318455e-07
1550.3860700428017,9.55194537e-07
1550.3860800432017,9.54698862e-07
1550.3860900436018,9.53955578e-07
1550.3861000440018,9.5581413e-07
1550.3861100444017,9.53335928e-07
1550.3861200448018,9.52592529e-07
1550.3861300452018,9.54079496e-07
1550.386140045602,9.54698862e-07
1550.3861500460018,9.55070618e-07
1550.3861600464018,9.53459846e-07
1550.386170046802,9.53831659e-07
1550.3861800472018,9.55442374e-07
1550.386190047602,9.55194537e-07
1550.386200048002,9.54822781e-07
1550.3862100484018,9.52096855e-07
1550.386220048802,9.51105619e-07
1550.386230049202,9.52344692e-07
1550.386240049602,9.53459846e-07
1550.386250050002,9.53583765e-07
1550.386260050402,9.53088204e-07
1550.386270050802,9.54203415e-07
1550.386280051202,9.53212009e-07
1550.3862900516021,9.53831659e-07
1550.386300052002,9.53583765e-07
1550.386310052402,9.52468611e-07
1550.3863200528021,9.52344692e-07
1550.386330053202,9.5197305e-07
1550.3863400536022,9.53335928e-07
1550.3863500540022,9.54946699e-07
1550.386360054402,9.55442374e-07
1550.3863700548022,9.55194537e-07
1550.3863800552022,9.54327106e-07
1550.3863900556023,9.55938049e-07
1550.3864000560022,9.54822781e-07
1550.3864100564022,9.50857782e-07
1550.3864200568023,9.50114384e-07
1550.3864300572022,9.52840367e-07
1550.3864400576024,9.52840367e-07
1550.3864500580023,9.52964285e-07
1550.3864600584022,9.52964285e-07
1550.3864700588024,9.53459846e-07
1550.3864800592023,9.54079496e-07
1550.3864900596025,9.54079496e-07
1550.3865000600024,9.54079496e-07
1550.3865100604023,9.51229538e-07
1550.3865200608025,9.52096855e-07
1550.3865300612024,9.52716448e-07
1550.3865400616025,9.53088204e-07
1550.3865500620025,9.53212009e-07
1550.3865600624024,9.52592529e-07
1550.3865700628025,9.53831659e-07
1550.3865800632025,9.52964285e-07
1550.3865900636026,9.54079496e-07
1550.3866000640026,9.53335928e-07
1550.3866100644025,9.50114384e-07
1550.3866200648026,9.51105619e-07
1550.3866300652026,9.52964285e-07
1550.3866400656027,9.53212009e-07
1550.3866500660026,9.5197305e-07
1550.3866600664026,9.52716448e-07
1550.3866700668027,9.52096855e-07
1550.3866800672026,9.54079496e-07
1550.3866900676028,9.52592529e-07
1550.3867000680027,9.54451025e-07
1550.3867100684026,9.51725212e-07
1550.3867200688028,9.52096855e-07
1550.3867300692027,9.51849131e-07
1550.3867400696029,9.52468611e-07
1550.3867500700028,9.54946699e-07
1550.3867600704027,9.52716448e-07
1550.3867700708029,9.51105619e-07
1550.3867800712028,9.53583765e-07
1550.386790071603,9.55070618e-07
1550.3868000720029,9.56185886e-07
1550.3868100724028,9.52468611e-07
1550.386820072803,9.51229538e-07
1550.3868300732029,9.54574944e-07
1550.386840073603,9.53955578e-07
1550.386850074003,9.52964285e-07
1550.3868600744029,9.52840367e-07
1550.386870074803,9.53212009e-07
1550.386880075203,9.52344692e-07
1550.386890075603,9.53088204e-07
1550.386900076003,9.53088204e-07
1550.386910076403,9.5197305e-07
1550.386920076803,9.50610058e-07
1550.386930077203,9.51105619e-07
1550.3869400776032,9.5197305e-07
1550.386950078003,9.54203415e-07
1550.386960078403,9.55690211e-07
1550.3869700788032,9.53335928e-07
1550.386980079203,9.55070618e-07
1550.3869900796033,9.55442374e-07
1550.3870000800032,9.52840367e-07
1550.3870100804031,9.48503668e-07
1550.3870200808033,9.52716448e-07
1550.3870300812032,9.54822781e-07
1550.3870400816033,9.53831659e-07
1550.3870500820033,9.53212009e-07
1550.3870600824032,9.52096855e-07
1550.3870700828033,9.54698862e-07
1550.3870800832033,9.51849131e-07
1550.3870900836034,9.53335928e-07
1550.3871000840034,9.53955578e-07
1550.3871100844033,9.50857782e-07
1550.3871200848034,9.52344692e-07
1550.3871300852034,9.54822781e-07
1550.3871400856035,9.52344692e-07
1550.3871500860034,9.53459846e-07
1550.3871600864034,9.53955578e-07
1550.3871700868035,9.56185886e-07
1550.3871800872034,9.52716448e-07
1550.3871900876036,9.51229538e-07
1550.3872000880035,9.52592529e-07
1550.3872100884034,9.52840367e-07
1550.3872200888036,9.52468611e-07
1550.3872300892035,9.51601294e-07
1550.3872400896037,9.52344692e-07
1550.3872500900036,9.52964285e-07
1550.3872600904035,9.51353456e-07
1550.3872700908037,9.54574944e-07
1550.3872800912036,9.5370774e-07
1550.3872900916037,9.55318455e-07
1550.3873000920037,9.56433723e-07
1550.3873100924036,9.5197305e-07
1550.3873200928037,9.51105619e-07
1550.3873300932037,9.50114384e-07
1550.3873400936038,9.52096855e-07
1550.3873500940038,9.52468611e-07
1550.3873600944037,9.52220773e-07
1550.3873700948038,9.53583765e-07
1550.3873800952038,9.54574944e-07
1550.387390095604,9.52716448e-07
1550.3874000960038,9.51725212e-07
1550.3874100964038,9.51849131e-07
1550.387420096804,9.53335928e-07
1550.3874300972038,9.53459846e-07
1550.387440097604,9.52220773e-07
1550.387450098004,9.5370774e-07
1550.3874600984038,9.54574944e-07
1550.387470098804,9.55318455e-07
1550.387480099204,9.54822781e-07
1550.387490099604,9.54822781e-07
1550.387500100004,9.53459846e-07
1550.387510100404,9.53459846e-07
1550.387520100804,9.52096855e-07
1550.387530101204,9.49247067e-07
1550.3875401016041,9.5048614e-07
1550.387550102004,9.53212009e-07
1550.387560102404,9.54079496e-07
1550.3875701028041,9.53955578e-07
1550.387580103204,9.52344692e-07
1550.3875901036042,9.52220773e-07
1550.3876001040042,9.55318455e-07
1550.387610104404,9.509817e-07
1550.3876201048042,9.53335928e-07
1550.3876301052042,9.54203415e-07
1550.3876401056043,9.53459846e-07
1550.3876501060042,9.50610058e-07
1550.3876601064042,9.52096855e-07
1550.3876701068043,9.54698862e-07
1550.3876801072042,9.55194537e-07
1550.3876901076044,9.53459846e-07
1550.3877001080043,9.51849131e-07
1550.3877101084042,9.50362221e-07
1550.3877201088044,9.51601294e-07
1550.3877301092043,9.53459846e-07
1550.3877401096045,9.53088204e-07
1550.3877501100044,9.53088204e-07
1550.3877601104043,9.52716448e-07
1550.3877701108045,9.51849131e-07
1550.3877801112044,9.54451025e-07
1550.3877901116045,9.54451025e-07
1550.3878001120045,9.54203415e-07
1550.3878101124044,9.52096855e-07
1550.3878201128045,9.51725212e-07
1550.3878301132045,9.53335928e-07
1550.3878401136046,9.52964285e-07
1550.3878501140046,9.52344692e-07
1550.3878601144045,9.52840367e-07
1550.3878701148046,9.52840367e-07
1550.3878801152046,9.53212009e-07
1550.3878901156047,9.5197305e-07
1550.3879001160046,9.51601294e-07
1550.3879101164046,9.51353456e-07
1550.3879201168047,9.51477375e-07
1550.3879301172046,9.5197305e-07
1550.3879401176048,9.51849131e-07
1550.3879501180047,9.51601294e-07
1550.3879601184046,9.52840367e-07
1550.3879701188048,9.52592529e-07
1550.3879801192047,9.52344692e-07
1550.3879901196049,9.5197305e-07
1550.3880001200048,9.53831659e-07
1550.3880101204047,9.5048614e-07
1550.3880201208049,9.50857782e-07
1550.3880301212048,9.52716448e-07
1550.388040121605,9.52964285e-07
1550.3880501220049,9.52468611e-07
1550.3880601224048,9.53088204e-07
1550.388070122805,9.55442374e-07
1550.3880801232049,9.53955578e-07
1550.388090123605,9.52220773e-07
1550.388100124005,9.52592529e-07
1550.3881101244049,9.5197305e-07
1550.388120124805,9.52096855e-07
1550.388130125205,9.52964285e-07
1550.388140125605,9.5370774e-07
1550.388150126005,9.53831659e-07
1550.388160126405,9.53583765e-07
1550.388170126805,9.54698862e-07
1550.388180127205,9.53088204e-07
