Wavelength (nm),Power (W)
1547.5,2.82444648e-06
1547.505,2.81688813e-06
1547.51,2.81862276e-06
1547.515,2.8173838e-06
1547.52,2.81775556e-06
1547.525,2.81614462e-06
1547.53,2.81825123e-06
1547.535,2.81614462e-06
1547.54,2.81725988e-06
1547.545,2.81664029e-06
1547.55,2.82494216e-06
1547.555,2.82184442e-06
1547.56,2.8245704e-06
1547.565,2.82494216e-06
1547.57,2.82791575e-06
1547.575,2.83150916e-06
1547.58,2.83299596e-06
1547.585,2.83559802e-06
1547.59,2.84724524e-06
1547.595,2.84836028e-06
1547.6,2.847617e-06
1547.605,2.86174236e-06
1547.61,2.85455576e-06
1547.615,2.86830937e-06
1547.62,2.86496379e-06
1547.625,2.8772306e-06
1547.63,2.87400894e-06
1547.635,2.87896546e-06
1547.64,2.87933699e-06
1547.645,2.87884131e-06
1547.65,2.8809477e-06
1547.655,2.87933699e-06
1547.66,2.88107185e-06
1547.665,2.8763634e-06
1547.67,2.87921284e-06
1547.675,2.8728939e-06
1547.68,2.87834564e-06
1547.685,2.8780978e-06
1547.69,2.87685907e-06
1547.695,2.87462854e-06
1547.7,2.87388502e-06
1547.705,2.8737611e-06
1547.71,2.86954833e-06
1547.715,2.87202647e-06
1547.72,2.86521163e-06
1547.725,2.86471595e-06
1547.73,2.86149452e-06
1547.735,2.86075101e-06
1547.74,2.85666215e-06
1547.745,2.85790111e-06
1547.75,2.85393617e-06
1547.755,2.84922771e-06
1547.76,2.84674957e-06
1547.765,2.84080215e-06
1547.77,2.84117391e-06
1547.775,2.83968689e-06
1547.78,2.83869576e-06
1547.785,2.84104999e-06
1547.79,2.83423515e-06
1547.795,2.83968689e-06
1547.8,2.83869576e-06
1547.805,2.83919121e-06
1547.81,2.8412976e-06
1547.815,2.84451926e-06
1547.82,2.84551061e-06
1547.825,2.85083843e-06
1547.83,2.85368833e-06
1547.835,2.85430792e-06
1547.84,2.85752935e-06
1547.845,2.86025534e-06
1547.85,2.86409659e-06
1547.855,2.86335307e-06
1547.86,2.87078751e-06
1547.865,2.86818545e-06
1547.87,2.87685907e-06
1547.875,2.87140688e-06
1547.88,2.88825822e-06
1547.885,2.88429328e-06
1547.89,2.89482523e-06
1547.895,2.89383388e-06
1547.9,2.89841864e-06
1547.905,2.89940999e-06
1547.91,2.90077287e-06
1547.915,2.90126854e-06
1547.92,2.90238359e-06
1547.925,2.90213575e-06
1547.93,2.9002772e-06
1547.935,2.90064872e-06
1547.94,2.89866648e-06
1547.945,2.89507307e-06
1547.95,2.89259515e-06
1547.955,2.88862975e-06
1547.96,2.88949741e-06
1547.965,2.87276998e-06
1547.97,2.87822195e-06
1547.975,2.87400894e-06
1547.98,2.86892873e-06
1547.985,2.86880504e-06
1547.99,2.86545946e-06
1547.995,2.86471595e-06
1548.0,2.8628574e-06
1548.005,2.86397267e-06
1548.01,2.86161844e-06
1548.015,2.8628574e-06
1548.02,2.85938813e-06
1548.025,2.86198997e-06
1548.03,2.86260956e-06
1548.035,2.86087493e-06
1548.04,2.86632689e-06
1548.045,2.85641431e-06
1548.05,2.87450462e-06
1548.055,2.87264606e-06
1548.06,2.87252215e-06
1548.065,2.87202647e-06
1548.07,2.87041576e-06
1548.075,2.8763634e-06
1548.08,2.87661123e-06
1548.085,2.87784997e-06
1548.09,2.8800805e-06
1548.095,2.88330193e-06
1548.1,2.88367391e-06
1548.105,2.88540832e-06
1548.11,2.88850606e-06
1548.115,2.89024092e-06
1548.12,2.89123182e-06
1548.125,2.89271884e-06
1548.13,2.89296668e-06
1548.135,2.90002936e-06
1548.14,2.88900173e-06
1548.145,2.90746357e-06
1548.15,2.90362277e-06
1548.155,2.90535718e-06
1548.16,2.90238359e-06
1548.165,2.90015305e-06
1548.17,2.90300295e-06
1548.175,2.89965783e-06
1548.18,2.89643594e-06
1548.185,2.89767513e-06
1548.19,2.89556874e-06
1548.195,2.89643594e-06
1548.2,2.88912543e-06
1548.205,2.89073614e-06
1548.21,2.88379761e-06
1548.215,2.88540832e-06
1548.22,2.88193905e-06
1548.225,2.88379761e-06
1548.23,2.88069987e-06
1548.235,2.87698276e-06
1548.24,2.87797411e-06
1548.245,2.87772627e-06
1548.25,2.87016792e-06
1548.255,2.87425678e-06
1548.26,2.87103535e-06
1548.265,2.87128296e-06
1548.27,2.86992008e-06
1548.275,2.8671941e-06
1548.28,2.8671941e-06
1548.285,2.86744194e-06
1548.29,2.87016792e-06
1548.295,2.8671941e-06
1548.3,2.87103535e-06
1548.305,2.87487637e-06
1548.31,2.87091143e-06
1548.315,2.8887539e-06
1548.32,2.88565616e-06
1548.325,2.88924957e-06
1548.33,2.88615183e-06
1548.335,2.89482523e-06
1548.34,2.89358604e-06
1548.345,2.89705577e-06
1548.35,2.89742729e-06
