Wavelength (nm),Power (W)
1549.0,1.74361094e-06
1549.005,1.73803505e-06
1549.01,1.74534557e-06
1549.015,1.74311526e-06
1549.02,1.73630042e-06
1549.025,1.74026536e-06
1549.03,1.74138063e-06
1549.035,1.7390264e-06
1549.04,1.73431795e-06
1549.045,1.74274351e-06
1549.05,1.73729177e-06
1549.055,1.74249567e-06
1549.06,1.7353093e-06
1549.065,1.74224806e-06
1549.07,1.73382227e-06
1549.075,1.74212414e-06
1549.08,1.7346897e-06
1549.085,1.74348702e-06
1549.09,1.74063712e-06
1549.095,1.74286743e-06
1549.1,1.7418763e-06
1549.105,1.74782372e-06
1549.11,1.74311526e-06
1549.115,1.74546949e-06
1549.12,1.74993011e-06
1549.125,1.746213e-06
1549.13,1.74299134e-06
1549.135,1.75178866e-06
1549.14,1.74423053e-06
1549.145,1.74125671e-06
1549.15,1.74757588e-06
1549.155,1.74534557e-06
1549.16,1.74460206e-06
1549.165,1.73791113e-06
1549.17,1.74546949e-06
1549.175,1.7361765e-06
1549.18,1.74732804e-06
1549.185,1.73493754e-06
1549.19,1.73791113e-06
1549.195,1.74224806e-06
1549.2,1.74212414e-06
1549.205,1.73692001e-06
1549.21,1.74311526e-06
1549.215,1.73939816e-06
1549.22,1.73307899e-06
1549.225,1.73976991e-06
1549.23,1.73939816e-06
1549.235,1.73493754e-06
1549.24,1.73221156e-06
1549.245,1.74274351e-06
1549.25,1.73419403e-06
1549.255,1.73258331e-06
1549.26,1.73097237e-06
1549.265,1.74026536e-06
1549.27,1.72799878e-06
1549.275,1.73555691e-06
1549.28,1.73134413e-06
1549.285,1.73258331e-06
1549.29,1.73159196e-06
1549.295,1.73196372e-06
1549.3,1.73146805e-06
1549.305,1.73580474e-06
1549.31,1.73456579e-06
1549.315,1.73047692e-06
1549.32,1.7346897e-06
1549.325,1.73134413e-06
1549.33,1.73196372e-06
1549.335,1.72948558e-06
1549.34,1.7346897e-06
1549.345,1.72390969e-06
1549.35,1.73171588e-06
1549.355,1.72775094e-06
1549.36,1.72960949e-06
1549.365,1.72799878e-06
1549.37,1.73630042e-06
1549.375,1.73035301e-06
1549.38,1.73568083e-06
1549.385,1.739646e-06
1549.39,1.73667217e-06
1549.395,1.73592866e-06
1549.4,1.74410661e-06
1549.405,1.74497382e-06
1549.41,1.73679609e-06
1549.415,1.74584125e-06
1549.42,1.73803505e-06
1549.425,1.74571733e-06
1549.43,1.73382227e-06
1549.435,1.746213e-06
1549.44,1.73605258e-06
1549.445,1.74323918e-06
1549.45,1.7346897e-06
1549.455,1.73989383e-06
1549.46,1.74348702e-06
1549.465,1.73766352e-06
1549.47,1.73493754e-06
1549.475,1.73729177e-06
1549.48,1.73815897e-06
1549.485,1.73642434e-06
1549.49,1.7405132e-06
1549.495,1.73109629e-06
1549.5,1.74063712e-06
1549.505,1.73518538e-06
1549.51,1.73283115e-06
1549.515,1.72936166e-06
1549.52,1.73481362e-06
1549.525,1.72923774e-06
1549.53,1.72837053e-06
1549.535,1.72576847e-06
1549.54,1.723786e-06
1549.545,1.72762702e-06
1549.55,1.72068826e-06
1549.555,1.72700743e-06
1549.56,1.71932516e-06
1549.565,1.72130785e-06
1549.57,1.72329032e-06
1549.575,1.72440537e-06
1549.58,1.7209361e-06
1549.585,1.72329032e-06
1549.59,1.72329032e-06
1549.595,1.72824662e-06
1549.6,1.7203165e-06
1549.605,1.72713135e-06
1549.61,1.73084845e-06
1549.615,1.72725527e-06
1549.62,1.72044042e-06
1549.625,1.72713135e-06
1549.63,1.72985733e-06
1549.635,1.71870579e-06
1549.64,1.72651175e-06
1549.645,1.7180862e-06
1549.65,1.72477712e-06
1549.655,1.72143177e-06
1549.66,1.71833403e-06
1549.665,1.71870579e-06
1549.67,1.72651175e-06
1549.675,1.71622764e-06
1549.68,1.71734268e-06
1549.685,1.71721877e-06
1549.69,1.72403361e-06
1549.695,1.71610372e-06
1549.7,1.71895363e-06
1549.705,1.71560805e-06
1549.71,1.72564455e-06
1549.715,1.71783836e-06
1549.72,1.71399734e-06
1549.725,1.71796228e-06
1549.73,1.71944907e-06
1549.735,1.71300599e-06
1549.74,1.71449301e-06
1549.745,1.71548413e-06
1549.75,1.71102351e-06
1549.755,1.71647548e-06
1549.76,1.71362558e-06
1549.765,1.71040392e-06
1549.77,1.70953672e-06
1549.775,1.71597981e-06
1549.78,1.70581939e-06
1549.785,1.71486454e-06
1549.79,1.70631506e-06
1549.795,1.70953672e-06
1549.8,1.71263423e-06
1549.805,1.71585589e-06
1549.81,1.70470435e-06
1549.815,1.71288207e-06
1549.82,1.7108996e-06
1549.825,1.71003239e-06
1549.83,1.71474062e-06
1549.835,1.71251031e-06
1549.84,1.71387342e-06
1549.845,1.70916496e-06
1549.85,1.72143177e-06
1549.855,1.70544786e-06
1549.86,1.72279465e-06
1549.865,1.70792578e-06
1549.87,1.71882971e-06
1549.875,1.7131299e-06
1549.88,1.71498846e-06
1549.885,1.7165994e-06
1549.89,1.71622764e-06
1549.895,1.7203165e-06
1549.9,1.71325382e-06
1549.905,1.72341424e-06
1549.91,1.7174666e-06
1549.915,1.71734268e-06
1549.92,1.71783836e-06
1549.925,1.71511238e-06
1549.93,1.71907755e-06
1549.935,1.70879321e-06
1549.94,1.71449301e-06
1549.945,1.70804969e-06
1549.95,1.71275815e-06
1549.955,1.70619114e-06
1549.96,1.70767817e-06
1549.965,1.70904104e-06
1549.97,1.6978895e-06
1549.975,1.70879321e-06
1549.98,1.70135877e-06
1549.985,1.70061548e-06
1549.99,1.70247404e-06
1549.995,1.70396083e-06
1550.0,1.70383692e-06
1550.005,1.69280929e-06
1550.01,1.70743033e-06
1550.015,1.68909219e-06
1550.02,1.69491568e-06
1550.025,1.6935528e-06
1550.03,1.6907029e-06
1550.035,1.69342889e-06
1550.04,1.67905569e-06
1550.045,1.69045506e-06
1550.05,1.67930352e-06
1550.055,1.68772908e-06
1550.06,1.67707321e-06
1550.065,1.67471899e-06
1550.07,1.68748124e-06
1550.075,1.67174517e-06
1550.08,1.67856001e-06
1550.085,1.67050621e-06
1550.09,1.6754625e-06
1550.095,1.67063013e-06
1550.1,1.66654104e-06
1550.105,1.67286044e-06
1550.11,1.66183258e-06
1550.115,1.6625761e-06
1550.12,1.66071754e-06
1550.125,1.65749589e-06
1550.13,1.65365486e-06
1550.135,1.64188373e-06
1550.14,1.65328311e-06
1550.145,1.64138805e-06
1550.15,1.64510539e-06
1550.155,1.6358124e-06
1550.16,1.63048435e-06
1550.165,1.64436187e-06
1550.17,1.62689116e-06
1550.175,1.64138805e-06
1550.18,1.62788228e-06
1550.185,1.63853838e-06
1550.19,1.62528022e-06
1550.195,1.63184745e-06
1550.2,1.62726292e-06
1550.205,1.62788228e-06
1550.21,1.62503261e-06
1550.215,1.62218271e-06
1550.22,1.61078333e-06
1550.225,1.60545528e-06
1550.23,1.60062291e-06
1550.235,1.59888828e-06
1550.24,1.5946755e-06
1550.245,1.59256911e-06
1550.25,1.59058641e-06
1550.255,1.58637363e-06
1550.26,1.58203693e-06
1550.265,1.5731157e-06
1550.27,1.58327612e-06
1550.275,1.5629555e-06
1550.28,1.57621344e-06
1550.285,1.56221199e-06
1550.29,1.57224827e-06
1550.295,1.55502539e-06
1550.3,1.57299178e-06
1550.305,1.54746704e-06
1550.31,1.54164354e-06
1550.315,1.54337818e-06
1550.32,1.5342091e-06
1550.325,1.53718292e-06
1550.33,1.5241726e-06
1550.335,1.52553571e-06
1550.34,1.51785343e-06
1550.345,1.51673839e-06
1550.35,1.5117821e-06
1550.355,1.49716107e-06
1550.36,1.49356788e-06
1550.365,1.48947879e-06
1550.37,1.48799199e-06
1550.375,1.48576169e-06
1550.38,1.46680395e-06
1550.385,1.47708829e-06
1550.39,1.46283901e-06
1550.395,1.46568891e-06
1550.4,1.44450087e-06
1550.405,1.45131571e-06
1550.41,1.42975591e-06
1550.415,1.43198622e-06
1550.42,1.4238085e-06
1550.425,1.40621387e-06
1550.43,1.41674582e-06
1550.435,1.39989447e-06
1550.44,1.40410748e-06
1550.445,1.38477799e-06
1550.45,1.38626478e-06
1550.455,1.37585675e-06
1550.46,1.38614087e-06
1550.465,1.3386848e-06
1550.47,1.35157097e-06
1550.475,1.34450852e-06
1550.48,1.32332048e-06
1550.485,1.32765717e-06
1550.49,1.31477077e-06
1550.495,1.30027388e-06
1550.5,1.29618502e-06
1550.505,1.28998954e-06
1550.51,1.27995327e-06
1550.515,1.27536873e-06
1550.52,1.26000418e-06
1550.525,1.25963243e-06
1550.53,1.240551e-06
1550.535,1.25108295e-06
1550.54,1.20957429e-06
1550.545,1.21800008e-06
1550.55,1.20536151e-06
1550.555,1.1994141e-06
1550.56,1.19544893e-06
1550.565,1.18578441e-06
1550.57,1.18714729e-06
1550.575,1.1698005e-06
1550.58,1.16856131e-06
1550.585,1.1626139e-06
1550.59,1.16608317e-06
1550.595,1.15480771e-06
1550.6,1.15567514e-06
1550.605,1.15679018e-06
1550.61,1.1497275e-06
1550.615,1.14489512e-06
1550.62,1.15369266e-06
1550.625,1.14947966e-06
1550.63,1.14650607e-06
1550.635,1.14353224e-06
1550.64,1.15418811e-06
1550.645,1.14266481e-06
1550.65,1.16174647e-06
1550.655,1.15369266e-06
1550.66,1.16843739e-06
1550.665,1.16422461e-06
1550.67,1.17983677e-06
1550.675,1.1778543e-06
1550.68,1.18714729e-06
1550.685,1.18627986e-06
1550.69,1.20213986e-06
1550.695,1.21886728e-06
1550.7,1.2118046e-06
1550.705,1.22146935e-06
1550.71,1.22840811e-06
1550.715,1.23819677e-06
1550.72,1.2318776e-06
1550.725,1.25256997e-06
1550.73,1.25033944e-06
1550.735,1.26892542e-06
1550.74,1.26793429e-06
1550.745,1.29829141e-06
1550.75,1.28825491e-06
1550.755,1.3113015e-06
1550.76,1.3191077e-06
1550.765,1.33050708e-06
1550.77,1.33410026e-06
1550.775,1.3452518e-06
1550.78,1.3559079e-06
1550.785,1.36049243e-06
1550.79,1.37870666e-06
1550.795,1.37300685e-06
1550.8,1.40026623e-06
1550.805,1.39134499e-06
1550.81,1.41278088e-06
1550.815,1.40695715e-06
1550.82,1.42963199e-06
1550.825,1.43557963e-06
1550.83,1.43632315e-06
1550.835,1.4525549e-06
1550.84,1.45082004e-06
1550.845,1.46333468e-06
1550.85,1.4677953e-06
1550.855,1.47746005e-06
1550.86,1.48080539e-06
1550.865,1.49183302e-06
1550.87,1.50162168e-06
1550.875,1.4974089e-06
1550.88,1.50979963e-06
1550.885,1.51277322e-06
1550.89,1.51227778e-06
1550.895,1.52578355e-06
1550.9,1.51872086e-06
1550.905,1.54610416e-06
1550.91,1.54610416e-06
1550.915,1.55279508e-06
1550.92,1.5601056e-06
1550.925,1.56072497e-06
1550.93,1.57175282e-06
1550.935,1.57323962e-06
1550.94,1.57869158e-06
1550.945,1.57918703e-06
