Wavelength (nm),Power (W)
1549.0,1.55762746e-06
1549.005,1.55502539e-06
1549.01,1.55960993e-06
1549.015,1.5572557e-06
1549.02,1.55663611e-06
1549.025,1.55477755e-06
1549.03,1.54821055e-06
1549.035,1.55106045e-06
1549.04,1.54028044e-06
1549.045,1.53755468e-06
1549.05,1.53012024e-06
1549.055,1.53073984e-06
1549.06,1.52219013e-06
1549.065,1.52020766e-06
1549.07,1.51909262e-06
1549.075,1.51735776e-06
1549.08,1.49914354e-06
1549.085,1.50149776e-06
1549.09,1.49963921e-06
1549.095,1.49257653e-06
1549.1,1.49703715e-06
1549.105,1.48415097e-06
1549.11,1.48638128e-06
1549.115,1.47770788e-06
1549.12,1.47869901e-06
1549.125,1.46841489e-06
1549.13,1.47324727e-06
1549.135,1.45961735e-06
1549.14,1.45565241e-06
1549.145,1.44958108e-06
1549.15,1.45020067e-06
1549.155,1.43310149e-06
1549.16,1.43347324e-06
1549.165,1.43000375e-06
1549.17,1.42901263e-06
1549.175,1.42802128e-06
1549.18,1.41686974e-06
1549.185,1.41600231e-06
1549.19,1.40807242e-06
1549.195,1.41501118e-06
1549.2,1.38973428e-06
1549.205,1.4013815e-06
1549.21,1.38217592e-06
1549.215,1.38341511e-06
1549.22,1.36606809e-06
1549.225,1.36123572e-06
1549.23,1.35442087e-06
1549.235,1.35020809e-06
1549.24,1.35181881e-06
1549.245,1.33744584e-06
1549.25,1.33967615e-06
1549.255,1.32356831e-06
1549.26,1.32493119e-06
1549.265,1.31179718e-06
1549.27,1.3141514e-06
1549.275,1.30114108e-06
1549.28,1.30225635e-06
1549.285,1.29184809e-06
1549.29,1.29098089e-06
1549.295,1.27673161e-06
1549.3,1.27066028e-06
1549.305,1.26979285e-06
1549.31,1.25740212e-06
1549.315,1.26434088e-06
1549.32,1.25418069e-06
1549.325,1.25467636e-06
1549.33,1.24476378e-06
1549.335,1.24934832e-06
1549.34,1.24178996e-06
1549.345,1.23943573e-06
1549.35,1.23262089e-06
1549.355,1.23584255e-06
1549.36,1.22791243e-06
1549.365,1.2342316e-06
1549.37,1.21886728e-06
1549.375,1.21998255e-06
1549.38,1.21638914e-06
1549.385,1.21428275e-06
1549.39,1.21329163e-06
1549.395,1.21440667e-06
1549.4,1.21775224e-06
1549.405,1.21502626e-06
1549.41,1.21874336e-06
1549.415,1.21688481e-06
1549.42,1.22295614e-06
1549.425,1.21911512e-06
1549.43,1.22295614e-06
1549.435,1.22320398e-06
1549.44,1.22506253e-06
1549.445,1.22754068e-06
1549.45,1.22816027e-06
1549.455,1.23931181e-06
1549.46,1.23856853e-06
1549.465,1.24600274e-06
1549.47,1.25083511e-06
1549.475,1.25170254e-06
1549.48,1.25802171e-06
1549.485,1.2644648e-06
1549.49,1.26384543e-06
1549.495,1.28218358e-06
1549.5,1.27759904e-06
1549.505,1.28342253e-06
1549.51,1.29209593e-06
1549.515,1.29085697e-06
1549.52,1.30064564e-06
1549.525,1.30014996e-06
1549.53,1.31526645e-06
1549.535,1.31117758e-06
1549.54,1.3243116e-06
1549.545,1.32728542e-06
1549.55,1.33248955e-06
1549.555,1.33385242e-06
1549.56,1.35157097e-06
1549.565,1.35442087e-06
1549.57,1.35838582e-06
1549.575,1.36755489e-06
1549.58,1.37275902e-06
1549.585,1.37721963e-06
1549.59,1.38564542e-06
1549.595,1.38824726e-06
1549.6,1.39221243e-06
1549.605,1.4007619e-06
1549.61,1.40200109e-06
1549.615,1.41302871e-06
1549.62,1.40807242e-06
1549.625,1.42690624e-06
1549.63,1.41439159e-06
1549.635,1.44611158e-06
