Wavelength (nm),Power (W)
1547.5,1.73047692e-06
1547.501,1.73345052e-06
1547.502,1.72960949e-06
1547.503,1.73307899e-06
1547.504,1.72651175e-06
1547.505,1.73431795e-06
1547.506,1.72948558e-06
1547.507,1.73258331e-06
1547.508,1.72688351e-06
1547.509,1.73345052e-06
1547.51,1.73022909e-06
1547.511,1.73060084e-06
1547.512,1.73171588e-06
1547.513,1.73159196e-06
1547.514,1.73369835e-06
1547.515,1.7275031e-06
1547.516,1.73196372e-06
1547.517,1.72936166e-06
1547.518,1.73221156e-06
1547.519,1.72787486e-06
1547.52,1.73010517e-06
1547.521,1.72923774e-06
1547.522,1.73010517e-06
1547.523,1.72415753e-06
1547.524,1.73010517e-06
1547.525,1.72651175e-06
1547.526,1.72762702e-06
1547.527,1.72601631e-06
1547.528,1.73060084e-06
1547.529,1.72106002e-06
1547.53,1.73097237e-06
1547.531,1.72614023e-06
1547.532,1.73047692e-06
1547.533,1.71957299e-06
1547.534,1.73394619e-06
1547.535,1.72291857e-06
1547.536,1.72725527e-06
1547.537,1.72192722e-06
1547.538,1.72725527e-06
1547.539,1.72254681e-06
1547.54,1.72576847e-06
1547.541,1.7252728e-06
1547.542,1.72700743e-06
1547.543,1.72304249e-06
1547.544,1.72651175e-06
1547.545,1.72861814e-06
1547.546,1.72229898e-06
1547.547,1.72329032e-06
1547.548,1.72353816e-06
1547.549,1.72713135e-06
1547.55,1.71932516e-06
1547.551,1.72440537e-06
1547.552,1.72242289e-06
1547.553,1.72217506e-06
1547.554,1.71957299e-06
1547.555,1.72552063e-06
1547.556,1.72341424e-06
1547.557,1.71796228e-06
1547.558,1.72415753e-06
1547.559,1.71895363e-06
1547.56,1.72167938e-06
1547.561,1.71610372e-06
1547.562,1.72267073e-06
1547.563,1.71424517e-06
1547.564,1.72291857e-06
1547.565,1.71511238e-06
1547.566,1.72130785e-06
1547.567,1.71647548e-06
1547.568,1.71957299e-06
1547.569,1.71523629e-06
1547.57,1.71845795e-06
1547.571,1.71560805e-06
1547.572,1.71845795e-06
1547.573,1.71684724e-06
1547.574,1.71920146e-06
1547.575,1.71647548e-06
1547.576,1.71932516e-06
1547.577,1.7165994e-06
1547.578,1.71263423e-06
1547.579,1.72019259e-06
1547.58,1.72143177e-06
1547.581,1.71102351e-06
1547.582,1.71771444e-06
1547.583,1.71969691e-06
1547.584,1.71647548e-06
1547.585,1.71635156e-06
1547.586,1.71697116e-06
1547.587,1.71684724e-06
1547.588,1.71560805e-06
1547.589,1.71697116e-06
1547.59,1.71907755e-06
1547.591,1.71536021e-06
1547.592,1.72006867e-06
1547.593,1.71585589e-06
1547.594,1.72118393e-06
1547.595,1.71498846e-06
