Wavelength (nm),Power (W)
1549.75,2.21705727e-06
1549.755,2.21916366e-06
1549.76,2.22015501e-06
1549.765,2.22127005e-06
1549.77,2.22362428e-06
1549.775,2.22114613e-06
1549.78,2.23167831e-06
1549.785,2.22932408e-06
1549.79,2.23700613e-06
1549.795,2.23551933e-06
1549.8,2.24134283e-06
1549.805,2.24035171e-06
1549.81,2.24258201e-06
1549.815,2.24221026e-06
1549.82,2.24493624e-06
1549.825,2.24567975e-06
1549.83,2.24964469e-06
1549.835,2.24766222e-06
1549.84,2.24555583e-06
1549.845,2.24704263e-06
1549.85,2.24691871e-06
1549.855,2.24914902e-06
1549.86,2.24791006e-06
1549.865,2.24815767e-06
1549.87,2.24803398e-06
1549.875,2.24629912e-06
1549.88,2.24803398e-06
1549.885,2.24952078e-06
1549.89,2.24691871e-06
1549.895,2.2475383e-06
1549.9,2.24890118e-06
1549.905,2.24890118e-06
1549.91,2.25088365e-06
1549.915,2.24555583e-06
1549.92,2.24444057e-06
1549.925,2.23973211e-06
1549.93,2.23824532e-06
1549.935,2.23948427e-06
1549.94,2.23688221e-06
1549.945,2.23105872e-06
1549.95,2.22424387e-06
1549.955,2.22399603e-06
1549.96,2.21606592e-06
1549.965,2.22102221e-06
1549.97,2.20875563e-06
1549.975,2.20541006e-06
1549.98,2.19686058e-06
1549.985,2.19896697e-06
1549.99,2.19896697e-06
1549.995,2.1926478e-06
1550.0,2.18434593e-06
1550.005,2.18385026e-06
1550.01,2.17629213e-06
1550.015,2.17604429e-06
1550.02,2.17245088e-06
1550.025,2.171088e-06
1550.03,2.16563603e-06
1550.035,2.15857335e-06
1550.04,2.16129934e-06
1550.045,2.14841316e-06
1550.05,2.14977604e-06
1550.055,2.14172223e-06
1550.06,2.14382862e-06
1550.065,2.1386245e-06
1550.07,2.14172223e-06
1550.075,2.13391604e-06
1550.08,2.13094222e-06
1550.085,2.13515523e-06
1550.09,2.13094222e-06
1550.095,2.12871191e-06
1550.1,2.12957934e-06
1550.105,2.12734903e-06
1550.11,2.12685336e-06
1550.115,2.12672944e-06
1550.12,2.1256144e-06
1550.125,2.1271012e-06
1550.13,2.12301234e-06
1550.135,2.12437521e-06
1550.14,2.1147107e-06
1550.145,2.11718861e-06
1550.15,2.11037377e-06
1550.155,2.112728e-06
1550.16,2.10516987e-06
1550.165,2.10653275e-06
1550.17,2.10021358e-06
1550.175,2.10479811e-06
1550.18,2.0997179e-06
1550.185,2.10021358e-06
1550.19,2.09959398e-06
1550.195,2.09699192e-06
1550.2,2.09488553e-06
1550.205,2.09104451e-06
1550.21,2.09265522e-06
1550.215,2.08658389e-06
1550.22,2.0859643e-06
1550.225,2.0816276e-06
1550.23,2.08175152e-06
1550.235,2.07506059e-06
1550.24,2.07716698e-06
