Wavelength (nm),Power (W)
1549.75,1.98522844e-06
1549.751,2.21049027e-06
1549.752,2.14221791e-06
1549.753,2.13775706e-06
1549.754,2.13936801e-06
1549.755,2.1371377e-06
1549.756,2.14283727e-06
1549.757,2.13589851e-06
1549.758,2.1414744e-06
1549.759,2.13465955e-06
1549.76,2.1386245e-06
1549.761,2.13986368e-06
1549.762,2.1380049e-06
1549.763,2.13949193e-06
1549.764,2.13589851e-06
1549.765,2.14110264e-06
1549.766,2.13664202e-06
1549.767,2.14258944e-06
1549.768,2.13726162e-06
1549.769,2.13912017e-06
1549.77,2.14320903e-06
1549.771,2.1423416e-06
1549.772,2.13986368e-06
1549.773,2.1399876e-06
1549.774,2.13986368e-06
1549.775,2.14035913e-06
1549.776,2.13676594e-06
1549.777,2.14197007e-06
1549.778,2.13936801e-06
1549.779,2.13627027e-06
1549.78,2.13936801e-06
1549.781,2.14184615e-06
1549.782,2.14048305e-06
1549.783,2.14110264e-06
1549.784,2.14110264e-06
1549.785,2.14283727e-06
1549.786,2.14035913e-06
1549.787,2.13775706e-06
1549.788,2.14283727e-06
1549.789,2.13961584e-06
1549.79,2.14159832e-06
1549.791,2.14110264e-06
1549.792,2.1414744e-06
1549.793,2.1423416e-06
1549.794,2.14011129e-06
1549.795,2.14097872e-06
1549.796,2.14246552e-06
1549.797,2.14197007e-06
1549.798,2.14048305e-06
1549.799,2.1451915e-06
1549.8,2.1386245e-06
1549.801,2.14271336e-06
1549.802,2.13912017e-06
1549.803,2.14110264e-06
1549.804,2.14258944e-06
1549.805,2.13986368e-06
1549.806,2.1414744e-06
1549.807,2.14122656e-06
1549.808,2.1414744e-06
1549.809,2.14035913e-06
1549.81,2.13986368e-06
1549.811,2.1399876e-06
1549.812,2.13887233e-06
1549.813,2.14407646e-06
1549.814,2.13577459e-06
1549.815,2.14011129e-06
1549.816,2.14048305e-06
1549.817,2.1414744e-06
1549.818,2.14060697e-06
1549.819,2.13949193e-06
1549.82,2.13949193e-06
1549.821,2.13850058e-06
1549.822,2.14110264e-06
1549.823,2.13726162e-06
1549.824,2.1380049e-06
1549.825,2.13738554e-06
1549.826,2.13775706e-06
1549.827,2.13627027e-06
1549.828,2.13986368e-06
1549.829,2.13651811e-06
1549.83,2.14246552e-06
1549.831,2.13676594e-06
1549.832,2.13478347e-06
1549.833,2.13515523e-06
1549.834,2.13465955e-06
1549.835,2.13391604e-06
1549.836,2.13354429e-06
1549.837,2.13379212e-06
1549.838,2.13453563e-06
1549.839,2.13465955e-06
1549.84,2.13478347e-06
1549.841,2.13292492e-06
1549.842,2.13527915e-06
1549.843,2.13342037e-06
1549.844,2.13304884e-06
1549.845,2.13701378e-06
1549.846,2.13255316e-06
1549.847,2.13577459e-06
1549.848,2.1256144e-06
1549.849,2.13763337e-06
1549.85,2.1299511e-06
1549.851,2.13057069e-06
1549.852,2.13193357e-06
1549.853,2.13354429e-06
1549.854,2.12809255e-06
1549.855,2.12796863e-06
1549.856,2.13044677e-06
1549.857,2.1299511e-06
1549.858,2.12957934e-06
