Wavelength (nm),Power (W)
1547.5,2.20317975e-06
1547.505,2.20008201e-06
1547.51,2.19723233e-06
1547.515,2.19896697e-06
1547.52,2.20256015e-06
1547.525,2.20590573e-06
1547.53,2.19847129e-06
1547.535,2.19859521e-06
1547.54,2.1963649e-06
1547.545,2.19091294e-06
1547.55,2.19103686e-06
1547.555,2.19760386e-06
1547.56,2.19859521e-06
1547.565,2.19524964e-06
1547.57,2.19723233e-06
1547.575,2.19054141e-06
1547.58,2.19054141e-06
1547.585,2.19165645e-06
1547.59,2.1906651e-06
1547.595,2.19227604e-06
1547.6,2.1992148e-06
1547.605,2.19016965e-06
1547.61,2.19190429e-06
1547.615,2.19339108e-06
1547.62,2.19971048e-06
1547.625,2.19661274e-06
1547.63,2.20094944e-06
1547.635,2.20429501e-06
1547.64,2.19871913e-06
1547.645,2.2035515e-06
1547.65,2.20144511e-06
1547.655,2.20714469e-06
1547.66,2.20838388e-06
1547.665,2.21668552e-06
1547.67,2.215942e-06
1547.675,2.21197706e-06
1547.68,2.20850779e-06
1547.685,2.21445521e-06
1547.69,2.2165616e-06
1547.695,2.22151789e-06
1547.7,2.22151789e-06
1547.705,2.22127005e-06
1547.71,2.21296841e-06
1547.715,2.21383561e-06
1547.72,2.22498738e-06
1547.725,2.22535891e-06
1547.73,2.23019128e-06
1547.735,2.23105872e-06
1547.74,2.22771314e-06
1547.745,2.2208983e-06
1547.75,2.21780078e-06
1547.755,2.22300469e-06
1547.76,2.22188964e-06
1547.765,2.22114613e-06
1547.77,2.22523499e-06
1547.775,2.21903974e-06
1547.78,2.20912716e-06
1547.785,2.21990717e-06
1547.79,2.21383561e-06
1547.795,2.20999459e-06
1547.8,2.21680943e-06
1547.805,2.20206471e-06
1547.81,2.19723233e-06
1547.815,2.19648882e-06
1547.82,2.18372634e-06
1547.825,2.19252388e-06
1547.83,2.19401068e-06
1547.835,2.19140861e-06
1547.84,2.19004573e-06
1547.845,2.18930222e-06
1547.85,2.18273522e-06
1547.855,2.18186779e-06
1547.86,2.18608056e-06
1547.865,2.18818718e-06
1547.87,2.18744367e-06
1547.875,2.18137234e-06
1547.88,2.18025707e-06
1547.885,2.17864635e-06
1547.89,2.1791418e-06
1547.895,2.1811245e-06
1547.9,2.19475419e-06
1547.905,2.18868263e-06
1547.91,2.18942614e-06
1547.915,2.18025707e-06
1547.92,2.18484161e-06
1547.925,2.17938964e-06
1547.93,2.18174387e-06
1547.935,2.1906651e-06
1547.94,2.19029357e-06
1547.945,2.19128469e-06
1547.95,2.19611707e-06
1547.955,2.19078902e-06
1547.96,2.19438243e-06
1547.965,2.19946264e-06
1547.97,2.19859521e-06
1547.975,2.20441871e-06
1547.98,2.20949892e-06
1547.985,2.20553397e-06
1547.99,2.20317975e-06
1547.995,2.20268407e-06
1548.0,2.20590573e-06
1548.005,2.20689685e-06
1548.01,2.20516222e-06
1548.015,2.20479046e-06
1548.02,2.20602965e-06
1548.025,2.20838388e-06
1548.03,2.20664924e-06
1548.035,2.21123378e-06
1548.04,2.20925108e-06
1548.045,2.21061418e-06
1548.05,2.20726861e-06
1548.055,2.20578181e-06
1548.06,2.20454262e-06
1548.065,2.20739253e-06
1548.07,2.20615357e-06
1548.075,2.2078882e-06
1548.08,2.21123378e-06
1548.085,2.19958656e-06
1548.09,2.1963649e-06
1548.095,2.20268407e-06
1548.1,2.20008201e-06
1548.105,2.20404718e-06
1548.11,2.20664924e-06
1548.115,2.20702077e-06
1548.12,2.2041711e-06
1548.125,2.20553397e-06
1548.13,2.20652532e-06
1548.135,2.20181687e-06
1548.14,2.20441871e-06
1548.145,2.209375e-06
1548.15,2.20949892e-06
1548.155,2.21408345e-06
1548.16,2.19995809e-06
1548.165,2.20008201e-06
1548.17,2.215942e-06
1548.175,2.21272057e-06
1548.18,2.21470304e-06
1548.185,2.21110986e-06
1548.19,2.21172922e-06
1548.195,2.21049027e-06
1548.2,2.21891582e-06
1548.205,2.2179247e-06
1548.21,2.21470304e-06
1548.215,2.21024243e-06
1548.22,2.20962283e-06
1548.225,2.20590573e-06
1548.23,2.20280799e-06
1548.235,2.2064014e-06
1548.24,2.20627749e-06
1548.245,2.20838388e-06
1548.25,2.20751645e-06
1548.255,2.20305583e-06
1548.26,2.20181687e-06
1548.265,2.19946264e-06
1548.27,2.1978517e-06
1548.275,2.20330367e-06
1548.28,2.19809954e-06
1548.285,2.19562139e-06
1548.29,2.20008201e-06
1548.295,2.18595687e-06
1548.3,2.18608056e-06
1548.305,2.18781543e-06
1548.31,2.18025707e-06
1548.315,2.18000923e-06
1548.32,2.18335481e-06
1548.325,2.18769151e-06
1548.33,2.18744367e-06
1548.335,2.18707191e-06
1548.34,2.1797614e-06
1548.345,2.17852244e-06
1548.35,2.17877027e-06
1548.355,2.17616821e-06
1548.36,2.17579645e-06
1548.365,2.1748051e-06
1548.37,2.17406182e-06
1548.375,2.17195543e-06
1548.38,2.17616821e-06
1548.385,2.17616821e-06
1548.39,2.17121192e-06
1548.395,2.17084016e-06
1548.4,2.17356614e-06
1548.405,2.1739379e-06
1548.41,2.18137234e-06
1548.415,2.18161995e-06
1548.42,2.18670016e-06
1548.425,2.18372634e-06
1548.43,2.18347873e-06
1548.435,2.18744367e-06
1548.44,2.1891783e-06
1548.445,2.18670016e-06
1548.45,2.18744367e-06
1548.455,2.1897979e-06
1548.46,2.18347873e-06
1548.465,2.18347873e-06
1548.47,2.18645232e-06
1548.475,2.18223954e-06
1548.48,2.18769151e-06
1548.485,2.18893047e-06
1548.49,2.18583295e-06
1548.495,2.18558512e-06
1548.5,2.18137234e-06
1548.505,2.17269871e-06
1548.51,2.17418574e-06
1548.515,2.16997273e-06
1548.52,2.17592037e-06
1548.525,2.18149603e-06
1548.53,2.17183151e-06
1548.535,2.17133584e-06
1548.54,2.17864635e-06
1548.545,2.17158367e-06
1548.55,2.17207935e-06
1548.555,2.17616821e-06
1548.56,2.17356614e-06
1548.565,2.1696012e-06
1548.57,2.17046841e-06
1548.575,2.16724698e-06
1548.58,2.17653997e-06
1548.585,2.16613171e-06
1548.59,2.16749481e-06
1548.595,2.16947728e-06
1548.6,2.16365356e-06
1548.605,2.1595647e-06
1548.61,2.16799026e-06
1548.615,2.16551211e-06
1548.62,2.16662738e-06
1548.625,2.16984904e-06
1548.63,2.17009665e-06
1548.635,2.16799026e-06
1548.64,2.15894511e-06
1548.645,2.16439707e-06
1548.65,2.16922945e-06
1548.655,2.16501667e-06
1548.66,2.16328181e-06
1548.665,2.16625563e-06
1548.67,2.16352964e-06
