Wavelength (nm),Power (W)
1547.5,2.21395953e-06
1547.505,2.20987067e-06
1547.51,2.21086202e-06
1547.515,2.21185314e-06
1547.52,2.20912716e-06
1547.525,2.21532264e-06
1547.53,2.21916366e-06
1547.535,2.22424387e-06
1547.54,2.22027893e-06
1547.545,2.21780078e-06
1547.55,2.22127005e-06
1547.555,2.22176573e-06
1547.56,2.21842015e-06
1547.565,2.22709377e-06
1547.57,2.22560675e-06
1547.575,2.22672202e-06
1547.58,2.22523499e-06
1547.585,2.22436779e-06
1547.59,2.21891582e-06
1547.595,2.22114613e-06
1547.6,2.22573067e-06
1547.605,2.22635026e-06
1547.61,2.22337644e-06
1547.615,2.21197706e-06
1547.62,2.22969561e-06
1547.625,2.22709377e-06
1547.63,2.22387212e-06
1547.635,2.23713005e-06
1547.64,2.23539541e-06
1547.645,2.22275708e-06
1547.65,2.22201356e-06
1547.655,2.22783706e-06
1547.66,2.22473955e-06
1547.665,2.23576717e-06
1547.67,2.24939686e-06
1547.675,2.23105872e-06
1547.68,2.21953542e-06
1547.685,2.22560675e-06
1547.69,2.22077438e-06
1547.695,2.2265981e-06
1547.7,2.23601501e-06
1547.705,2.23217376e-06
1547.71,2.22709377e-06
1547.715,2.21544656e-06
1547.72,2.21110986e-06
1547.725,2.20615357e-06
1547.73,2.20627749e-06
1547.735,2.20392326e-06
1547.74,2.20627749e-06
1547.745,2.20900324e-06
1547.75,2.20714469e-06
1547.755,2.20206471e-06
1547.76,2.20317975e-06
1547.765,2.20776428e-06
1547.77,2.20342758e-06
1547.775,2.20664924e-06
1547.78,2.20714469e-06
1547.785,2.20317975e-06
1547.79,2.19971048e-06
1547.795,2.19896697e-06
1547.8,2.19772778e-06
1547.805,2.20144511e-06
1547.81,2.20652532e-06
1547.815,2.20776428e-06
1547.82,2.20392326e-06
1547.825,2.20987067e-06
1547.83,2.20392326e-06
1547.835,2.20925108e-06
1547.84,2.21334017e-06
1547.845,2.2237482e-06
1547.85,2.22709377e-06
1547.855,2.22424387e-06
1547.86,2.2352715e-06
1547.865,2.23167831e-06
1547.87,2.2309348e-06
1547.875,2.23960819e-06
1547.88,2.23725397e-06
1547.885,2.23638676e-06
1547.89,2.2381214e-06
1547.895,2.23960819e-06
1547.9,2.24121891e-06
1547.905,2.24320161e-06
1547.91,2.24394489e-06
1547.915,2.25447707e-06
1547.92,2.25075974e-06
1547.925,2.24555583e-06
1547.93,2.24989253e-06
1547.935,2.25150325e-06
1547.94,2.251875e-06
1547.945,2.25150325e-06
1547.95,2.25596386e-06
1547.955,2.25509643e-06
1547.96,2.24704263e-06
1547.965,2.24890118e-06
1547.97,2.24803398e-06
1547.975,2.24927294e-06
1547.98,2.25088365e-06
1547.985,2.25137933e-06
1547.99,2.25113149e-06
1547.995,2.25113149e-06
1548.0,2.24852943e-06
1548.005,2.25137933e-06
1548.01,2.25274221e-06
1548.015,2.25497274e-06
1548.02,2.25583995e-06
1548.025,2.2562117e-06
1548.03,2.25435315e-06
1548.035,2.25286612e-06
1548.04,2.25943336e-06
